Date,Open,High,Low,Close,Volume
2002-03-31,31.0,33.0,31.0,32.45,192620
2002-03-31,124.0,128.95,124.0,125.9,807655
2002-03-31,106.25,106.25,106.25,106.25,1
2002-04-01,126.0,126.5,122.5,123.4,1282485
2002-04-01,124.0,124.0,124.0,124.0,1
2002-04-01,30.55,32.8,30.55,31.85,22703
2002-04-02,119.8,119.8,119.8,119.8,1
2002-04-02,123.5,126.35,122.5,125.05,661475
2002-04-02,31.5,32.05,31.5,32.0,5084
2002-04-03,109.1,124.0,109.1,116.05,11
2002-04-03,32.5,33.0,32.5,32.65,3058
2002-04-03,126.0,126.8,124.6,125.1,379384
2002-04-04,126.5,129.5,125.5,128.05,1427601
2002-04-04,33.0,37.8,33.0,36.1,32132
2002-04-04,137.0,137.0,108.05,108.45,204
